Model,Live,Test,Train / Val,Remark
model_20200202-123900.h5,,7.9300000000000015,9.15338534410697,self stock price LSTM - 10N
model_20200202-123545.h5,,3.43,9.698161047645584,self stock price LSTM - 20N
model_20200203-094847.h5,3.9,3.513333333333335,7.56921636801282,self stock price LSTM - 20N
model_20200203-111124.h5,0.9000000000000004,6.3100000000000005,6.566969778015494,self stock price LSTM - 20N
model_20200203-112600.h5,,13.04333333333333,9.641951871657755,self stock price LSTM - 20N
model_20200203-112817.h5,,8.29,8.336684491978625,self stock price LSTM - 20N
model_20200203-113025.h5,,3.75,7.031818181818186,self stock price LSTM - 20N
model_20200204-142452.h5,,11.183333333333335,8.792221331194849,self stock price LSTM - 20N
model_20200204-143637.h5,,7.31,8.77217321571772,self stock price LSTM - 20N
model_20200204-144429.h5,,7.249999999999999,8.716118684843615,self stock price LSTM - 20N
model_20200204-144817.h5,,8.423333333333334,7.953942796043807,self stock price LSTM - 20N
model_20200204-145412.h5,,8.060000000000002,7.7781876503608665,self stock price LSTM - 20N
model_20200204-145602.h5,,9.410000000000002,8.517348302592886,self stock price LSTM - 20N
model_20200204-145844.h5,,8.99,8.448088746324531,self stock price LSTM - 20N
model_20200204-150105.h5,,4.69,9.414835605453094,self stock price LSTM - 20N
model_20200204-150358.h5,4.033333333333332,7.1933333333333325,6.877378378378364,self stock price LSTM - 20N
model_20200206-220802.h5,,7.5166666666666675,7.320442884147973,self stock price LSTM - 20N
model_20200207-150443.h5,,7.456666666666666,7.368061555075593,self stock price LSTM - 20N
model_20200207-151047.h5,,5.73,4.335073409461662,self stock price LSTM - 20N
model_20200207-183133.h5,,6.9899999999999975,4.1569331158238185,self stock price LSTM - 20N
model_20200207-201219.h5,,8.24,4.310440456769983,self stock price LSTM - 20N
model_20200207-201538.h5,,12.943333333333333,6.938009787928218,self stock price LSTM - 20N
model_20200207-203142.h5,,4.469999999999999,5.617781402936373,self stock price LSTM - 20N
model_20200207-203339.h5,,5.383333333333334,5.36003262642741,self stock price LSTM - 20N
model_20200207-203546.h5,,5.36,4.295758564437198,self stock price LSTM - 20N
model_20200207-203633.h5,,8.24,4.310440456769983,self stock price LSTM - 20N
model_20200207-204043.h5,,12.206666666666667,7.774061990212068,self stock price LSTM - 20N
model_20200207-204433.h5,,19.65333333333333,9.691843393148439,self stock price LSTM - 20N
model_20200207-204546.h5,,16.706666666666663,8.587275693311572,self stock price LSTM - 20N
model_20200207-204702.h5,,13.900000000000002,8.237846655791195,self stock price LSTM - 20N
model_20200207-204823.h5,,17.486666666666668,11.760032626427405,self stock price LSTM - 20N
model_20200207-204855.h5,,12.896666666666668,6.416873889875657,self stock price LSTM - 20N
model_20200207-204955.h5,,21.020000000000003,13.993072824156306,self stock price LSTM - 20N
model_20200207-205036.h5,,34.55,29.00444049733569,self stock price LSTM - 20N
model_20200207-205106.h5,,34.69666666666667,29.13108348134991,self stock price LSTM - 20N
model_20200207-205139.h5,,6.29,4.211367673179391,self stock price LSTM - 20N
model_20200207-205538.h5,,9.306666666666667,4.4429840142095935,self stock price LSTM - 20N
model_20200207-205634.h5,,14.706666666666665,8.595737122557727,self stock price LSTM - 20N
model_20200207-205730.h5,,10.44,5.1298401420959125,self stock price LSTM - 20N
model_20200208-173519.h5,,8.70333333333333,4.573898858075043,self stock price LSTM - 20N
model_20200208-173743.h5,,7.246666666666666,4.2641109298531745,self stock price LSTM - 20N
model_20200208-173834.h5,,6.086666666666668,4.46460032626427,self stock price LSTM - 20N
model_20200208-174004.h5,,7.403333333333332,4.185318107667212,self stock price LSTM - 20N
model_20200208-174108.h5,,8.766666666666667,4.606035889070144,self stock price LSTM - 20N
model_20200208-174237.h5,,4.703333333333334,5.192659053833609,self stock price LSTM - 20N
model_20200208-174340.h5,,6.2333333333333325,4.443393148450243,self stock price LSTM - 20N
model_20200208-174418.h5,,6.913333333333332,4.247308319738987,self stock price LSTM - 20N
model_20200208-182417.h5,,5.503333333333333,4.777650897226754,self stock price LSTM - 20N
model_20200208-194308.h5,,5.636666666666664,4.723817292006527,self stock price LSTM - 20N
model_20200208-210241.h5,,5.683333333333334,4.473898858075044,self stock price LSTM - 20N
model_20200208-210339.h5,,5.636666666666664,4.723817292006527,self stock price LSTM - 20N
model_20200208-210429.h5,,5.69,4.475040783034261,self stock price LSTM - 20N
model_20200208-210511.h5,,6.4300000000000015,5.586460032626427,self stock price LSTM - 20N
model_20200208-210548.h5,,12.430000000000005,5.6505709624796125,self stock price LSTM - 20N
model_20200208-211630.h5,,4.923333333333332,5.127895595432305,self stock price LSTM - 20N
model_20200208-211742.h5,,,,self stock price LSTM - 20N
model_20200208-211833.h5,,6.4433333333333325,4.520880913539965,self stock price LSTM - 20N
model_20200208-211914.h5,,4.44,5.359706362153342,self stock price LSTM - 20N
model_20200208-212131.h5,,6.3966666666666665,4.487928221859711,self stock price LSTM - 20N
model_20200208-212240.h5,,4.766666666666667,5.70293637846656,self stock price LSTM - 20N
model_20200208-212326.h5,,4.77,5.3195758564437226,self stock price LSTM - 20N
model_20200208-212414.h5,,4.886666666666666,5.1308319738988635,self stock price LSTM - 20N
model_20200208-213152.h5,,5.196666666666667,4.888907014681889,self stock price LSTM - 20N
model_20200208-213330.h5,,10.123333333333337,4.88581395348837,self stock price LSTM - 20N
model_20200208-213435.h5,,8.000000000000002,4.848433734939758,self stock price LSTM - 20N
model_20200208-213531.h5,,5.484999999999998,5.081646655231568,self stock price LSTM - 20N
model_20200209-095455.h5,,5.3616666666666655,5.728301886792448,self stock price LSTM - 20N
model_20200209-095602.h5,,5.6999999999999975,5.097427101200687,self stock price LSTM - 20N
model_20200209-095734.h5,,5.065,5.0874785591766765,self stock price LSTM - 20N
model_20200209-095842.h5,,6.0833333333333375,4.75317324185249,self stock price LSTM - 20N
model_20200209-095936.h5,,6.173333333333333,5.003430531732417,self stock price LSTM - 20N
model_20200209-100021.h5,,5.25833333333333,4.7588336192109715,self stock price LSTM - 20N
model_20200209-100121.h5,,5.3966666666666665,5.102744425385933,self stock price LSTM - 20N
model_20200209-100203.h5,,5.441666666666666,4.338593481989709,self stock price LSTM - 20N
model_20200209-101103.h5,,8.138333333333335,5.15029761904762,self stock price LSTM - 20N
model_20200210-094937.h5,,5.348333333333334,4.348287671232876,self stock price LSTM - 20N
model_20200210-095147.h5,,5.360000000000001,4.351883561643836,self stock price LSTM - 20N
model_20200209-112701.h5,0.7999999999999998,5.405000000000002,4.355060034305319,self stock price LSTM - 20N
model_20200210-105136.h5,,5.360000000000001,4.350684931506851,self stock price LSTM - 20N
model_20200210-105326.h5,,8.251666666666663,5.089020771513352,self stock price LSTM - 20N
model_20200211-111756.h5,,5.516666666666668,4.370427350427351,self stock price LSTM - 20N
model_20200210-105501.h5,0.5999999999999999,5.431666666666663,4.350428816466554,self stock price LSTM - 20N
model_20200211-112940.h5,,5.048333333333334,4.599487179487182,self stock price LSTM - 20N
model_20200211-113046.h5,,4.793333333333334,4.531282051282051,self stock price LSTM - 20N
model_20200211-113331.h5,,4.623333333333333,4.8264957264957244,self stock price LSTM - 20N
model_20200211-113409.h5,,4.723333333333332,4.649572649572644,self stock price LSTM - 20N
model_20200211-113448.h5,,4.694999999999999,4.672478632478634,self stock price LSTM - 20N
model_20200211-113526.h5,,6.175,4.819658119658119,self stock price LSTM - 20N
model_20200211-113613.h5,,4.701666666666667,4.665128205128211,self stock price LSTM - 20N
model_20200211-113655.h5,,3.8749999999999987,4.664102564102562,self stock price LSTM - 20N
model_20200211-113725.h5,,5.966666666666668,6.165128205128205,self stock price LSTM - 20N
model_20200211-113759.h5,,5.928333333333333,6.146495726495727,self stock price LSTM - 20N
model_20200211-113840.h5,,4.244999999999999,4.732307692307693,self stock price LSTM - 20N
model_20200211-113915.h5,,3.8749999999999987,4.664102564102562,self stock price LSTM - 20N
model_20200212-091643.h5,,3.896666666666667,4.680854700854703,self stock price LSTM - 20N
model_20200212-092228.h5,,4.136666666666667,4.5552136752136745,self stock price LSTM - 20N
model_20200212-092515.h5,,3.7633333333333328,4.504786324786325,self stock price LSTM - 20N
model_20200212-092622.h5,,4.348333333333332,4.9041025641025655,self stock price LSTM - 20N
model_20200212-092658.h5,,3.6916666666666655,4.4659829059829095,self stock price LSTM - 20N
model_20200212-092752.h5,,4.113333333333334,4.793333333333331,self stock price LSTM - 20N
model_20200212-092844.h5,,3.7633333333333328,4.504786324786325,self stock price LSTM - 20N
model_20200212-094218.h5,,4.4383333333333335,5.383105802047781,self stock price LSTM - 20N
model_20200212-094509.h5,,3.87,4.744880546075088,self stock price LSTM - 20N
model_20200212-104426.h5,,4.886666666666667,6.07474402730375,self stock price LSTM - 20N
model_20200212-104534.h5,,5.283333333333333,6.6525597269624495,self stock price LSTM - 20N
model_20200212-104607.h5,,4.175000000000002,5.116211604095569,self stock price LSTM - 20N
model_20200212-104643.h5,,3.79,4.689761092150167,self stock price LSTM - 20N
model_20200212-104737.h5,,3.659999999999999,4.927303754266212,self stock price LSTM - 20N
model_20200212-104905.h5,,3.7116666666666656,4.895392491467577,self stock price LSTM - 20N
model_20200212-105117.h5,,3.755,4.793515358361783,self stock price LSTM - 20N
model_20200212-105501.h5,,4.166666666666667,5.117747440273037,self stock price LSTM - 20N
model_20200212-111356.h5,,3.770000000000002,4.733617747440267,self stock price LSTM - 20N
model_20200212-111450.h5,,22.03333333333333,15.564306784660769,self stock price LSTM - 20N
model_20200212-112304.h5,,4.0516666666666685,4.840102389078497,self stock price LSTM - 20N
model_20200212-112633.h5,,4.110000000000001,4.5351535836177455,self stock price LSTM - 20N
model_20200212-112725.h5,,4.168333333333334,4.471501706484641,self stock price LSTM - 20N
model_20200212-112812.h5,,4.141666666666667,4.460238907849831,self stock price LSTM - 20N
model_20200212-112848.h5,,4.533333333333333,5.573037542662116,self stock price LSTM - 20N
model_20200212-112929.h5,,4.110000000000001,4.5351535836177455,self stock price LSTM - 20N
model_20200212-113307.h5,,15.753333333333336,16.672354948805456,self stock price LSTM - 20N
model_20200212-113604.h5,,26.881666666666664,20.452730375426622,self stock price LSTM - 20N
model_20200212-113635.h5,,4.110000000000001,4.534982935153582,self stock price LSTM - 20N
model_20200212-113715.h5,,4.281666666666667,5.592320819112628,self stock price LSTM - 20N
model_20200212-113814.h5,,6.49,4.08890784982935,self stock price LSTM - 20N
model_20200212-113926.h5,,13.663333333333327,11.448122866894211,self stock price LSTM - 20N
model_20200212-114032.h5,,10.178333333333336,8.087542662116048,self stock price LSTM - 20N
model_20200212-114130.h5,,9.271666666666668,6.432252559726957,self stock price LSTM - 20N
model_20200212-114419.h5,,4.815,6.849317406143342,self stock price LSTM - 20N
model_20200212-114649.h5,,8.553333333333335,6.37150170648464,self stock price LSTM - 20N
model_20200212-114732.h5,,17.47833333333333,27.5957337883959,self stock price LSTM - 20N
model_20200212-114858.h5,,6.303333333333333,4.687713310580207,self stock price LSTM - 20N
model_20200212-115015.h5,,8.398333333333337,9.24078498293516,self stock price LSTM - 20N
model_20200212-115113.h5,,8.151666666666667,7.410068259385669,self stock price LSTM - 20N
model_20200212-115216.h5,,7.113333333333332,5.027815699658704,self stock price LSTM - 20N
model_20200212-115535.h5,,6.593333333333333,5.3923208191126255,self stock price LSTM - 20N
model_20200212-115627.h5,,11.424999999999995,9.770989761092137,self stock price LSTM - 20N
model_20200212-115800.h5,,5.91,5.35238907849829,self stock price LSTM - 20N
model_20200212-115910.h5,,9.745,7.972696245733787,self stock price LSTM - 20N
model_20200212-120143.h5,,6.809999999999999,4.680887372013647,self stock price LSTM - 20N
model_20200212-120345.h5,,5.504999999999997,6.387713310580205,self stock price LSTM - 20N
model_20200212-120444.h5,,16.67333333333334,6.916040955631392,self stock price LSTM - 20N
model_20200212-120540.h5,,22.191666666666666,20.05290102389082,self stock price LSTM - 20N
model_20200212-121118.h5,,6.809999999999999,4.679010238907844,self stock price LSTM - 20N
model_20200212-152906.h5,,6.468333333333333,4.514846416382259,self stock price LSTM - 20N
model_20200212-153103.h5,,5.303333333333332,4.673378839590441,self stock price LSTM - 20N
model_20200212-153212.h5,,11.095,9.015529010238913,self stock price LSTM - 20N
model_20200212-153406.h5,,11.796666666666667,9.603583617747445,self stock price LSTM - 20N
model_20200212-153612.h5,,10.36833333333333,7.596416382252557,self stock price LSTM - 20N
model_20200212-153647.h5,,41.20666666666668,37.289078498293506,self stock price LSTM - 20N
model_20200212-153802.h5,,11.405,9.936518771331057,self stock price LSTM - 20N
model_20200212-153837.h5,,11.770000000000005,9.065017064846408,self stock price LSTM - 20N
model_20200212-153911.h5,,6.9016666666666655,5.4503412969283245,self stock price LSTM - 20N
model_20200212-154000.h5,,6.8066666666666675,4.679010238907844,self stock price LSTM - 20N
model_20200212-154108.h5,,6.1066666666666665,4.224744027303755,self stock price LSTM - 20N
model_20200212-154145.h5,,6.8566666666666665,4.564846416382251,self stock price LSTM - 20N
model_20200212-154227.h5,,6.421666666666668,4.312627986348125,self stock price LSTM - 20N
model_20200212-154531.h5,,5.091666666666666,5.3455631399317385,self stock price LSTM - 20N
model_20200212-154921.h5,,3.873333333333333,4.7846416382252555,self stock price LSTM - 20N
model_20200212-154950.h5,,3.8699999999999983,4.7372013651877145,self stock price LSTM - 20N
model_20200212-155031.h5,,4.066666666666666,4.676962457337886,self stock price LSTM - 20N
model_20200212-155347.h5,,5.215000000000002,4.799317406143347,self stock price LSTM - 20N
model_20200212-155420.h5,,4.2283333333333335,6.432081911262791,self stock price LSTM - 20N
model_20200212-155643.h5,,5.069999999999999,4.653754266211607,self stock price LSTM - 20N
model_20200212-155941.h5,,4.845,5.95716723549488,self stock price LSTM - 20N
model_20200212-160046.h5,,4.960000000000002,5.899146757679176,self stock price LSTM - 20N
model_20200212-160137.h5,,6.181666666666664,4.525426621160408,self stock price LSTM - 20N
model_20200212-160214.h5,,7.075000000000001,4.053242320819112,self stock price LSTM - 20N
model_20200212-160326.h5,,6.386666666666668,4.388737201365186,self stock price LSTM - 20N
model_20200212-160411.h5,,6.9816666666666665,4.75563139931741,self stock price LSTM - 20N
model_20200212-160454.h5,,7.173333333333335,4.730034129692833,self stock price LSTM - 20N
model_20200212-160541.h5,,7.173333333333335,4.729522184300341,self stock price LSTM - 20N
model_20200212-160613.h5,,6.386666666666668,4.388737201365186,self stock price LSTM - 20N
model_20200212-160815.h5,,5.391249999999999,4.610777385159012,self stock price LSTM - 20N
model_20200212-162648.h5,,5.985000000000001,4.8697879858657185,self stock price LSTM - 20N
model_20200212-162832.h5,,5.505000000000003,4.8309187279151935,self stock price LSTM - 20N
model_20200212-162918.h5,,5.112499999999997,4.504063604240279,self stock price LSTM - 20N
model_20200212-162948.h5,,5.48875,4.490812720848057,self stock price LSTM - 20N
model_20200212-163017.h5,,5.641249999999999,4.574204946996464,self stock price LSTM - 20N
model_20200213-091415.h5,,5.016249999999999,4.506713780918728,self stock price LSTM - 20N
model_20200213-091622.h5,,4.9099999999999975,4.459540636042409,self stock price LSTM - 20N
model_20200213-091702.h5,,4.713749999999999,4.517667844522965,self stock price LSTM - 20N
model_20200213-091941.h5,,5.146249999999998,4.762544169611299,self stock price LSTM - 20N
model_20200213-092158.h5,,7.20125,8.11236749116607,self stock price LSTM - 20N
model_20200213-092224.h5,,6.1837500000000025,6.417137809187275,self stock price LSTM - 20N
model_20200213-092252.h5,,4.962500000000002,4.740106007067135,self stock price LSTM - 20N
model_20200213-092336.h5,,10.42125,8.634275618374554,self stock price LSTM - 20N
model_20200213-092453.h5,,9.38125,7.737279151943455,self stock price LSTM - 20N
model_20200213-092739.h5,,4.896250000000001,4.617844522968191,self stock price LSTM - 20N
model_20200213-093142.h5,,10.125000000000002,9.08838028169014,self stock price LSTM - 20N
model_20200213-093353.h5,,4.39125,3.5957746478873216,self stock price LSTM - 20N
model_20200213-093613.h5,,4.541250000000002,3.8932980599647236,self stock price LSTM - 20N
model_20200213-093810.h5,,5.4674999999999985,3.922574955908289,self stock price LSTM - 20N
model_20200213-094000.h5,,5.62875,4.125044091710759,self stock price LSTM - 20N
model_20200213-094314.h5,,4.279999999999999,3.9641975308641983,self stock price LSTM - 20N
model_20200213-094436.h5,,5.549999999999999,3.725220458553791,self stock price LSTM - 20N
model_20200213-094559.h5,,5.276250000000002,3.550970017636682,self stock price LSTM - 20N
model_20200213-094710.h5,,5.022499999999999,3.748853615520277,self stock price LSTM - 20N
model_20200213-094828.h5,,5.719999999999998,3.674426807760143,self stock price LSTM - 20N
model_20200213-095316.h5,,4.76,3.939858906525571,self stock price LSTM - 20N
model_20200213-095831.h5,,4.685,3.832627865961197,self stock price LSTM - 20N
model_20200213-100138.h5,,7.335000000000001,5.161728395061728,self stock price LSTM - 20N
model_20200213-100450.h5,,4.145000000000001,3.1098765432098747,self stock price LSTM - 20N
model_20200213-101457.h5,,6.253750000000003,4.403350970017644,self stock price LSTM - 20N
model_20200213-101840.h5,,7.1662500000000025,5.426455026455021,self stock price LSTM - 20N
model_20200213-102128.h5,,6.60625,3.7049382716049415,self stock price LSTM - 20N
model_20200213-102512.h5,,4.446250000000001,3.1873015873015884,self stock price LSTM - 20N
model_20200213-103031.h5,,5.34625,3.573721340388009,self stock price LSTM - 20N
model_20200213-103521.h5,,4.585000000000003,3.188359788359786,self stock price LSTM - 20N
model_20200213-103937.h5,,5.007499999999999,3.8784832451499134,self stock price LSTM - 20N
model_20200213-104212.h5,,5.4475,3.6255731922398597,self stock price LSTM - 20N
model_20200213-105037.h5,,5.605000000000001,3.9793650793650763,self stock price LSTM - 20N
model_20200213-105456.h5,,5.448749999999999,4.082716049382718,self stock price LSTM - 20N
model_20200213-105743.h5,,5.018749999999999,4.4215167548500895,self stock price LSTM - 20N
model_20200213-110441.h5,,5.354999999999997,4.17231040564374,self stock price LSTM - 20N
model_20200213-110740.h5,,5.707500000000001,4.08941798941799,self stock price LSTM - 20N
model_20200213-111109.h5,,5.182500000000003,3.4389770723104043,self stock price LSTM - 20N
model_20200213-113314.h5,,4.633750000000001,3.165255731922397,self stock price LSTM - 20N
model_20200213-113858.h5,,4.842500000000001,3.615167548500881,self stock price LSTM - 20N
model_20200213-114031.h5,,5.7875,4.1880070546737205,self stock price LSTM - 20N
model_20200213-114226.h5,,7.022499999999997,4.476190476190473,self stock price LSTM - 20N
model_20200213-114629.h5,,5.473750000000001,4.20970017636684,self stock price LSTM - 20N
model_20200213-114928.h5,,4.981250000000001,3.607936507936506,self stock price LSTM - 20N
model_20200213-115114.h5,,5.09625,4.186596119929452,self stock price LSTM - 20N
model_20200213-115436.h5,,5.4625,3.7592592592592586,self stock price LSTM - 20N
model_20200213-115630.h5,,5.520000000000001,3.697354497354493,self stock price LSTM - 20N
model_20200213-115858.h5,,4.945,3.8462081128747796,self stock price LSTM - 20N
model_20200213-120039.h5,,4.975,3.8444444444444463,self stock price LSTM - 20N
model_20200213-120235.h5,,5.563749999999999,4.375485008818342,self stock price LSTM - 20N
model_20200213-120415.h5,,5.3762500000000015,4.161904761904763,self stock price LSTM - 20N
model_20200214-230129.h5,,5.021249999999998,3.804929577464785,self stock price LSTM - 20N
model_20200216-163803.h5,,4.820000000000001,3.88333333333333,self stock price LSTM - 20N
model_20200216-184743.h5,,5.1837500000000025,4.014912280701753,self stock price LSTM - 20N
model_20200216-184918.h5,,5.046249999999999,4.001754385964913,self stock price LSTM - 20N
model_20200216-185146.h5,,5.2825000000000015,4.179824561403513,self stock price LSTM - 20N
model_20200216-185419.h5,,5.125000000000001,3.8891228070175456,self stock price LSTM - 20N
model_20200216-185633.h5,,5.080000000000001,4.267368421052634,self stock price LSTM - 20N
model_20200216-185826.h5,,5.130000000000001,4.394035087719296,self stock price LSTM - 20N
model_20200216-190107.h5,,5.4387500000000015,3.902105263157893,self stock price LSTM - 20N
model_20200213-120802.h5,3.6,4.598749999999999,4.2316901408450684,self stock price LSTM - 20N
model_20200218-175241.h5,,4.95625,3.9625218914185667,self stock price LSTM - 20N
model_20200216-190301.h5,1.1250000000000002,4.85375,4.062456140350873,self stock price LSTM - 20N
model_20200220-223410.h5,,4.6937500000000005,4.167247386759582,self stock price LSTM - 20N
model_20200222-094618.h5,,2.02625,2.2420338983050843,self stock price LSTM - 20N
model_20200222-094823.h5,,2.042499999999999,2.2191044776119444,self stock price LSTM - 20N
model_20200222-094939.h5,,2.23375,2.219402985074626,self stock price LSTM - 20N
model_20200222-095005.h5,,2.7324999999999986,2.6488059701492563,self stock price LSTM - 20N
model_20200222-095032.h5,,1.88875,2.102238805970152,self stock price LSTM - 20N
model_20200222-095100.h5,,1.9112499999999983,2.1035820895522384,self stock price LSTM - 20N
model_20200222-095409.h5,,1.86,2.0967164179104505,self stock price LSTM - 20N
model_20200229-095413.h5,,2.295000000000001,2.0736296296296293,self stock price LSTM - 20N
model_20200229-211546.h5,,2.2,2.0802962962962948,self stock price LSTM - 20N
model_20200301-110405.h5,,2.26,2.156296296296295,self stock price LSTM - 20N
model_20200301-110751.h5,,2.3400000000000007,2.0322962962962974,self stock price LSTM - 20N
model_20200301-110921.h5,,2.265,2.0912592592592603,self stock price LSTM - 20N
model_20200307-164216.h5,,1.9150000000000005,2.0451470588235297,self stock price LSTM - 20N
model_20200307-170700.h5,,1.895,2.0663235294117674,self stock price LSTM - 20N
model_20200310-173032.h5,,2.0975000000000006,1.8958944281524928,self stock price LSTM - 20N
model_20200328-180923.h5,,2.5649999999999995,2.0074820143884877,self stock price LSTM - 20N
model_20200328-181518.h5,,2.53375,2.0178417266187068,self stock price LSTM - 20N
model_20200328-185130.h5,,2.3249999999999997,2.0670503597122303,self stock price LSTM - 20N
model_20200328-185355.h5,,1.3587500000000001,1.1131616595135927,self stock price LSTM - 20N
