Date,Short_Ratio,Short_Count,Short_Amount
2020-03-09,14.27%,"2,234,700","164,289,150"
2020-03-06,10.40%,"963,300","70,847,625"
2020-03-05,9.66%,"726,900","54,094,430"
2020-03-04,7.76%,"881,300","64,983,365"
2020-03-03,6.02%,"603,200","43,283,135"
2020-03-02,8.38%,"879,100","62,954,040"
2020-02-28,3.51%,"386,300","27,923,795"
2020-02-27,10.06%,"666,100","49,031,740"
2020-02-26,3.41%,"278,500","20,632,460"
2020-02-25,9.45%,"478,400","35,756,270"
2020-02-24,10.61%,"838,300","63,105,870"
2020-02-21,16.51%,"1,697,000","129,880,465"
2020-02-20,8.25%,"522,100","40,668,190"
2020-02-19,3.40%,"206,700","16,132,200"
2020-02-18,5.84%,"338,500","26,474,125"
2020-02-17,0.20%,"25,500","2,020,415"
2020-02-14,1.40%,"130,400","10,288,190"
2020-02-13,4.09%,"321,100","25,272,245"
2020-02-12,3.51%,"253,600","20,052,535"
2020-02-11,12.70%,"710,800","56,376,690"
2020-02-10,22.41%,"1,177,800","93,596,310"
2020-02-07,18.02%,"918,900","73,884,000"
2020-02-06,20.79%,"1,615,100","128,675,730"
2020-02-05,20.72%,"1,248,000","97,122,700"
2020-02-04,13.62%,"968,400","75,725,840"
2020-02-03,13.79%,"1,328,700","103,509,810"
2020-01-31,7.23%,"509,900","40,458,315"
2020-01-30,9.67%,"642,100","50,945,425"
2020-01-29,8.87%,"585,200","46,818,380"
2020-01-24,5.50%,"301,200","24,504,705"
2020-01-23,9.66%,"821,200","67,203,630"
2020-01-22,13.04%,"965,100","79,880,830"
2020-01-21,17.22%,"1,289,800","108,168,260"
2020-01-20,20.35%,"1,100,700","94,904,970"
2020-01-17,12.14%,"1,406,600","120,641,175"
2020-01-16,12.84%,"1,087,500","92,036,345"
2020-01-15,11.16%,"767,000","63,874,650"
2020-01-14,16.08%,"1,015,100","84,460,900"
2020-01-13,7.54%,"509,100","42,026,440"
2020-01-10,5.38%,"211,900","17,296,035"
2020-01-09,15.80%,"819,100","66,455,375"
2020-01-08,7.33%,"309,100","24,895,150"
2020-01-07,9.22%,"544,800","44,143,085"
2020-01-06,8.05%,"379,600","30,747,665"
2020-01-03,11.96%,"481,300","39,368,655"
2020-01-02,9.34%,"522,200","42,885,555"
2019-12-31,1.05%,"46,000","3,770,775"
2019-12-30,12.11%,"605,500","49,694,925"
2019-12-27,5.49%,"278,000","22,636,875"
2019-12-24,9.62%,"204,500","16,536,125"
2019-12-23,7.39%,"485,000","39,419,850"
2019-12-20,5.01%,"730,500","59,244,925"
2019-12-19,2.76%,"131,000","10,309,600"
2019-12-18,3.17%,"188,000","14,856,750"
2019-12-17,3.62%,"270,000","21,354,300"
2019-12-16,6.00%,"272,000","21,668,325"
2019-12-13,6.27%,"605,000","48,633,125"
2019-12-12,0.89%,"79,500","6,327,650"
2019-12-11,1.19%,"71,000","5,630,125"
2019-12-10,4.37%,"231,000","18,430,200"
2019-12-09,4.22%,"173,000","13,996,000"
2019-12-06,5.25%,"260,500","20,937,650"
2019-12-05,4.27%,"273,000","21,698,600"
2019-12-04,6.46%,"339,500","26,720,450"
2019-12-03,2.82%,"186,500","14,755,800"
2019-12-02,4.65%,"112,000","8,971,625"
2019-11-29,5.95%,"262,500","21,033,375"
2019-11-28,6.32%,"189,000","15,307,150"
2019-11-27,2.93%,"179,000","14,487,375"
2019-11-26,1.88%,"289,000","23,754,075"
2019-11-25,6.49%,"619,000","51,133,850"
2019-11-22,22.86%,"970,500","78,044,900"
2019-11-21,18.92%,"1,210,500","96,816,075"
2019-11-20,8.75%,"341,500","27,869,825"
2019-11-19,5.77%,"426,500","34,681,500"
2019-11-18,8.98%,"507,000","40,677,150"
2019-11-15,5.74%,"531,000","42,260,600"
2019-11-14,12.87%,"1,206,000","96,582,075"
2019-11-13,12.13%,"909,500","73,701,725"
2019-11-12,10.73%,"718,000","58,950,625"
2019-11-11,9.19%,"421,500","34,936,700"
2019-11-08,9.78%,"359,000","30,667,075"
2019-11-07,3.86%,"165,500","14,241,800"
2019-11-06,6.18%,"220,500","18,847,550"
2019-11-05,7.33%,"528,500","44,847,675"
2019-11-04,5.67%,"331,000","28,568,700"
2019-11-01,11.31%,"511,000","44,024,125"
2019-10-31,3.15%,"121,000","10,379,700"
2019-10-30,9.44%,"571,000","48,965,500"
2019-10-29,3.88%,"183,000","15,525,700"
2019-10-28,3.31%,"175,500","15,004,400"
2019-10-25,4.94%,"271,000","23,029,725"
2019-10-24,16.73%,"728,500","61,839,675"
2019-10-23,7.16%,"215,000","18,023,075"
2019-10-22,10.69%,"290,000","24,396,650"
2019-10-21,3.61%,"109,000","9,105,225"
2019-10-18,6.85%,"440,000","36,754,725"
2019-10-17,9.05%,"799,500","68,076,225"
2019-10-16,7.82%,"836,500","69,933,575"
2019-10-15,5.30%,"412,000","33,765,200"
2019-10-14,4.11%,"296,000","24,481,175"
2019-10-11,9.54%,"1,150,500","93,996,175"
2019-10-10,5.86%,"922,500","74,847,200"
2019-10-09,8.51%,"1,063,000","88,864,975"
2019-10-08,3.66%,"403,500","34,695,225"
2019-10-04,6.54%,"742,500","64,840,300"
2019-10-03,1.57%,"104,000","9,018,900"
2019-10-02,5.48%,"406,000","35,050,900"
2019-09-30,5.68%,"377,000","32,530,925"
2019-09-27,13.78%,"1,429,500","122,219,950"
2019-09-26,8.45%,"675,000","58,087,600"
2019-09-25,5.45%,"389,000","33,271,425"
2019-09-24,7.89%,"583,000","50,640,050"
2019-09-23,15.09%,"463,500","40,406,225"
2019-09-20,4.54%,"369,000","32,660,075"
2019-09-19,17.95%,"545,500","47,991,100"
2019-09-18,8.76%,"329,000","29,181,325"
2019-09-17,28.16%,"1,222,000","108,698,950"
2019-09-16,16.55%,"504,500","44,742,375"
2019-09-13,20.27%,"604,500","54,100,275"
2019-09-12,13.44%,"576,000","51,618,075"
2019-09-11,27.36%,"2,147,500","192,398,525"
2019-09-10,20.64%,"637,500","56,477,300"
2019-09-09,19.15%,"653,000","58,050,600"
2019-09-06,27.41%,"1,582,000","141,034,150"
2019-09-05,18.53%,"1,965,500","175,385,625"
2019-09-04,17.26%,"2,908,000","262,617,075"
2019-09-03,16.51%,"1,250,500","108,067,075"
2019-09-02,37.95%,"3,884,500","335,779,225"
2019-08-30,34.90%,"2,757,500","243,887,250"
2019-08-29,39.16%,"2,003,500","178,689,300"
2019-08-28,35.52%,"1,283,500","115,349,175"
2019-08-27,20.73%,"1,418,000","127,673,075"
2019-08-26,29.73%,"2,183,000","194,361,525"
2019-08-23,41.48%,"2,226,000","205,041,850"
2019-08-22,30.94%,"1,333,500","124,124,175"
2019-08-21,26.39%,"1,204,000","113,153,675"
2019-08-20,35.25%,"1,745,500","163,553,950"
2019-08-19,32.27%,"2,914,000","272,880,675"
2019-08-16,26.98%,"2,669,000","244,605,550"
2019-08-15,22.67%,"3,067,000","273,896,625"
2019-08-14,18.14%,"2,344,000","203,308,125"
2019-08-13,13.56%,"1,658,500","143,964,000"
2019-08-12,16.35%,"815,500","73,206,225"
2019-08-09,32.29%,"1,634,500","149,989,225"
2019-08-08,29.44%,"1,841,000","169,763,450"
2019-08-07,26.02%,"2,016,500","184,071,850"
2019-08-06,25.77%,"3,287,500","298,876,250"
2019-08-05,23.32%,"2,332,000","211,918,375"
2019-08-02,18.41%,"2,057,500","187,648,725"
2019-08-01,10.10%,"756,500","68,811,075"
2019-07-31,9.42%,"471,000","43,271,225"
2019-07-30,7.81%,"522,000","48,044,475"
2019-07-29,12.79%,"1,366,500","125,980,100"
2019-07-26,6.76%,"291,500","27,681,700"
2019-07-25,19.48%,"794,500","75,677,175"
2019-07-24,21.43%,"566,500","54,203,600"
2019-07-23,13.10%,"671,000","64,073,650"
2019-07-22,19.56%,"948,000","91,017,650"
2019-07-19,9.37%,"286,000","27,763,275"
2019-07-18,13.96%,"524,000","50,619,475"
2019-07-17,12.60%,"599,000","58,093,025"
2019-07-16,23.74%,"1,091,500","106,400,275"
2019-07-15,34.29%,"1,111,000","107,952,325"
2019-07-12,20.71%,"515,500","50,523,500"
2019-07-11,15.42%,"548,500","53,726,825"
2019-07-10,20.24%,"550,000","53,623,175"
2019-07-09,28.10%,"1,122,000","109,207,850"
2019-07-08,18.07%,"1,260,500","123,331,875"
2019-07-05,25.51%,"1,203,000","119,432,800"
2019-07-04,26.65%,"540,000","52,932,450"
2019-07-03,20.82%,"887,000","86,449,850"
2019-07-02,15.84%,"942,000","90,550,000"
2019-06-28,10.72%,"595,500","57,423,450"
2019-06-27,35.99%,"1,486,500","144,587,650"
2019-06-26,26.77%,"790,000","77,067,475"
2019-06-25,27.98%,"1,117,500","108,947,600"
2019-06-24,21.28%,"744,500","72,164,900"
2019-06-21,12.73%,"822,000","79,407,100"
2019-06-20,21.39%,"922,000","89,503,775"
2019-06-19,31.68%,"1,846,500","179,224,550"
2019-06-18,28.42%,"1,180,000","114,225,625"
2019-06-17,18.27%,"898,000","86,668,750"
2019-06-14,26.24%,"990,000","94,810,500"
2019-06-13,16.51%,"1,205,000","114,436,300"
2019-06-12,26.97%,"1,628,500","158,060,250"
2019-06-11,26.35%,"1,151,000","114,006,675"
2019-06-10,25.84%,"1,180,500","115,748,150"
2019-06-06,30.07%,"1,456,000","140,439,775"
2019-06-05,32.83%,"1,024,000","97,804,900"
2019-06-04,38.26%,"2,068,500","197,594,375"
2019-06-03,33.67%,"1,883,500","178,980,025"
2019-05-31,14.20%,"955,500","89,830,625"
2019-05-30,24.19%,"1,395,500","133,071,450"
2019-05-29,17.35%,"904,500","87,585,125"
2019-05-28,8.29%,"526,500","50,841,250"
2019-05-27,23.28%,"454,000","43,999,875"
2019-05-24,21.04%,"683,500","66,368,325"
2019-05-23,33.89%,"1,575,500","153,033,425"
2019-05-22,22.83%,"810,000","78,291,500"
2019-05-21,22.50%,"985,500","96,212,900"
2019-05-20,26.83%,"1,578,000","153,318,675"
2019-05-17,19.44%,"688,500","65,672,325"
2019-05-16,29.12%,"1,206,000","115,774,675"
2019-05-15,21.54%,"887,500","84,863,400"
2019-05-14,17.86%,"1,644,500","157,545,425"
2019-05-10,14.89%,"707,000","65,954,575"
2019-05-09,14.21%,"529,000","49,072,100"
2019-05-08,19.33%,"815,000","76,953,000"
2019-05-07,16.05%,"552,000","52,439,775"
2019-05-06,20.26%,"1,098,000","104,633,100"
2019-05-03,23.48%,"942,000","89,953,300"
2019-05-02,12.55%,"952,000","89,556,950"
2019-04-30,3.59%,"184,000","16,941,725"
2019-04-29,14.52%,"529,500","49,495,700"
2019-04-26,10.33%,"299,500","27,665,550"
2019-04-25,11.31%,"416,000","38,087,700"
2019-04-24,7.40%,"380,000","34,531,725"
2019-04-23,6.69%,"302,500","27,453,150"
2019-04-18,12.82%,"383,500","34,890,800"
2019-04-17,12.92%,"342,000","31,045,825"
2019-04-16,4.36%,"159,500","14,554,900"
2019-04-15,6.15%,"159,500","14,603,950"
2019-04-12,8.28%,"195,000","18,019,400"
2019-04-11,10.52%,"342,500","31,645,175"
2019-04-10,7.53%,"248,000","23,098,425"
2019-04-09,14.23%,"492,500","45,818,900"
2019-04-08,8.91%,"323,000","29,722,025"
2019-04-04,4.82%,"203,000","18,681,125"
2019-04-03,10.31%,"400,500","37,226,700"
2019-04-02,11.82%,"613,000","56,802,300"
2019-04-01,20.19%,"922,500","85,208,800"
2019-03-29,9.31%,"494,500","45,373,000"
2019-03-28,21.00%,"1,202,500","108,993,325"
2019-03-27,7.45%,"224,500","19,851,050"
2019-03-26,11.70%,"386,500","34,186,175"
2019-03-25,8.39%,"323,000","28,381,375"
2019-03-22,9.03%,"411,500","36,209,200"
2019-03-21,3.83%,"153,000","13,355,125"
2019-03-20,24.71%,"1,276,000","111,397,850"
2019-03-19,5.34%,"194,000","17,070,325"
2019-03-18,3.95%,"228,000","19,866,875"
2019-03-15,1.94%,"181,000","15,812,000"
2019-03-14,9.93%,"592,500","51,918,275"
2019-03-13,12.04%,"424,500","37,457,500"
2019-03-12,6.72%,"239,500","21,227,375"
2019-03-11,9.10%,"322,500","28,273,875"
2019-03-08,30.15%,"2,586,500","226,704,750"
2019-03-07,6.78%,"287,000","25,703,150"
2019-03-06,13.65%,"659,500","59,169,175"
2019-03-05,14.47%,"626,000","56,321,925"
2019-03-04,21.40%,"1,018,000","91,888,475"
2019-03-01,13.48%,"617,000","55,510,900"
2019-02-28,7.10%,"453,000","40,737,275"
2019-02-27,10.78%,"455,000","40,474,525"
2019-02-26,14.99%,"520,000","46,033,475"
2019-02-25,14.36%,"561,500","50,017,475"
2019-02-22,5.42%,"302,000","27,031,950"
2019-02-21,11.77%,"730,000","65,462,150"
2019-02-20,17.75%,"940,500","84,484,750"
2019-02-19,17.05%,"848,000","75,058,875"
2019-02-18,15.16%,"571,500","49,841,150"
2019-02-15,13.05%,"489,500","42,314,650"
2019-02-14,4.87%,"233,000","20,161,475"
2019-02-13,9.53%,"599,500","51,690,000"
2019-02-12,6.28%,"374,000","32,261,100"
2019-02-11,11.75%,"610,000","52,768,975"
2019-02-08,16.85%,"881,500","76,354,625"
2019-02-04,13.63%,"498,500","43,089,050"
2019-02-01,8.17%,"592,000","50,539,850"
2019-01-31,12.00%,"1,329,500","114,535,075"
2019-01-30,38.45%,"2,863,500","243,824,150"
2019-01-29,35.88%,"2,226,000","188,966,525"
2019-01-28,26.36%,"1,643,500","138,376,700"
2019-01-25,15.97%,"762,500","63,125,100"
2019-01-24,11.34%,"639,000","52,519,950"
2019-01-23,24.17%,"1,497,000","121,619,275"
2019-01-22,21.02%,"714,500","57,069,850"
2019-01-21,3.11%,"119,500","9,425,575"
2019-01-18,4.67%,"161,000","12,778,225"
2019-01-17,15.83%,"736,000","58,541,075"
2019-01-16,7.14%,"335,000","26,789,425"
2019-01-15,6.02%,"283,500","22,823,200"
2019-01-14,17.52%,"521,500","41,629,600"
2019-01-11,7.71%,"447,000","35,570,775"
2019-01-10,13.00%,"861,000","68,461,400"
2019-01-09,6.63%,"505,500","40,789,275"
2019-01-08,20.25%,"1,237,500","99,993,200"
2019-01-07,16.20%,"709,000","57,570,300"
2019-01-04,24.57%,"1,548,000","124,185,125"
2019-01-03,19.41%,"767,000","60,190,300"
2019-01-02,33.62%,"1,381,500","107,783,425"
2018-12-31,11.74%,"245,000","19,406,725"
2018-12-28,15.42%,"579,500","45,656,900"
2018-12-27,7.05%,"386,500","30,601,025"
2018-12-24,21.74%,"569,000","44,661,050"
2018-12-21,5.11%,"475,000","37,140,525"
2018-12-20,19.61%,"738,500","57,697,825"
2018-12-19,16.65%,"599,500","47,217,625"
2018-12-18,21.53%,"1,357,000","107,171,000"
2018-12-17,24.71%,"1,272,000","100,587,525"
2018-12-14,24.54%,"1,283,500","101,151,700"
2018-12-13,22.02%,"1,438,000","113,299,350"
2018-12-12,13.75%,"700,500","54,760,575"
2018-12-11,22.72%,"812,000","62,681,875"
2018-12-10,14.54%,"987,500","76,051,550"
2018-12-07,27.41%,"3,175,000","251,115,375"
2018-12-06,24.83%,"1,582,500","121,369,250"
2018-12-05,28.16%,"1,400,500","107,409,900"
2018-12-04,21.96%,"1,027,500","78,300,350"
2018-12-03,14.45%,"932,000","70,691,050"
2018-11-30,3.77%,"330,500","24,740,875"
2018-11-29,19.93%,"1,158,000","87,582,875"
2018-11-28,14.10%,"739,500","54,851,625"
2018-11-27,10.09%,"565,000","41,381,625"
2018-11-26,13.50%,"626,500","47,237,275"
2018-11-23,17.52%,"481,000","35,902,100"
2018-11-22,21.66%,"869,000","64,711,650"
2018-11-21,21.39%,"509,000","37,282,100"
2018-11-20,28.36%,"694,000","50,636,450"
2018-11-19,14.00%,"385,500","28,263,475"
2018-11-16,10.56%,"427,000","31,258,350"
2018-11-15,14.87%,"891,000","65,866,525"
2018-11-14,26.18%,"1,482,500","108,173,900"
2018-11-13,18.57%,"601,500","43,301,075"
2018-11-12,22.85%,"621,000","45,006,150"
2018-11-09,36.18%,"1,359,000","97,497,200"
2018-11-08,14.10%,"357,500","25,964,225"
2018-11-07,29.54%,"993,000","71,621,775"
2018-11-06,27.64%,"585,500","41,975,450"
2018-11-05,20.73%,"668,000","47,447,500"
2018-11-02,11.51%,"552,500","39,572,600"
2018-11-01,18.59%,"1,180,500","83,134,300"
2018-10-31,8.61%,"902,000","63,595,600"
2018-10-30,9.84%,"428,500","31,112,850"
2018-10-29,12.08%,"508,500","37,104,700"
2018-10-26,22.61%,"1,109,000","80,216,950"
2018-10-25,16.77%,"845,000","60,947,675"
2018-10-24,12.59%,"492,500","35,979,375"
2018-10-23,18.70%,"841,000","61,111,375"
2018-10-22,22.42%,"1,224,500","89,943,575"
2018-10-19,16.79%,"779,000","57,052,150"
2018-10-18,21.32%,"1,121,500","82,117,500"
2018-10-16,28.53%,"1,470,000","105,489,450"
2018-10-15,30.54%,"1,318,000","94,699,475"
2018-10-12,17.57%,"1,326,500","95,452,950"
2018-10-11,17.12%,"1,475,000","105,181,275"
2018-10-10,16.19%,"1,246,500","90,951,250"
2018-10-09,21.63%,"1,204,500","85,189,925"
2018-10-08,23.60%,"1,211,500","84,943,525"
2018-10-05,22.99%,"1,698,500","121,111,900"
2018-10-04,39.08%,"2,422,000","177,249,925"
2018-10-03,26.52%,"1,037,500","77,608,375"
2018-10-02,20.03%,"1,009,000","75,818,325"
2018-09-28,17.75%,"915,500","70,411,650"
2018-09-27,22.85%,"876,500","66,926,925"
2018-09-26,19.70%,"1,421,500","108,566,175"
2018-09-24,11.04%,"431,500","31,860,575"
2018-09-21,9.42%,"1,134,500","84,333,550"
2018-09-20,15.47%,"715,000","54,025,825"
2018-09-19,20.29%,"696,000","52,986,575"
2018-09-18,33.34%,"1,382,000","105,111,725"
2018-09-17,16.46%,"823,500","62,437,125"
2018-09-14,9.27%,"571,000","43,893,425"
2018-09-13,9.56%,"496,000","38,291,025"
2018-09-12,21.21%,"1,059,500","81,060,275"
2018-09-11,27.34%,"1,723,500","130,829,750"
2018-09-10,16.22%,"683,500","51,195,700"
2018-09-07,11.84%,"921,000","69,432,525"
2018-09-06,23.50%,"1,092,500","82,670,025"
2018-09-05,18.18%,"1,163,500","88,974,100"
2018-09-04,23.21%,"551,000","43,066,275"
2018-09-03,16.33%,"323,500","25,237,650"
2018-08-31,17.44%,"972,500","75,848,475"
2018-08-30,22.10%,"722,500","56,172,650"
2018-08-29,11.17%,"427,500","33,370,550"
2018-08-28,13.27%,"354,000","27,582,475"
2018-08-27,10.02%,"515,000","39,990,275"
2018-08-24,21.27%,"731,000","56,027,900"
2018-08-23,10.01%,"533,000","40,547,650"
2018-08-22,10.12%,"606,000","46,190,950"
2018-08-21,13.55%,"990,000","76,767,625"
2018-08-20,12.99%,"821,500","63,771,425"
2018-08-17,30.26%,"1,098,000","84,595,700"
2018-08-16,27.24%,"1,298,000","100,277,875"
2018-08-15,23.18%,"1,174,000","90,520,625"
2018-08-14,8.51%,"499,000","38,296,975"
2018-08-13,17.56%,"931,000","70,814,475"
2018-08-10,21.83%,"737,500","56,462,425"
2018-08-09,14.31%,"612,500","47,411,525"
2018-08-08,12.70%,"706,500","55,013,600"
2018-08-07,10.99%,"415,500","31,954,250"
2018-08-06,19.30%,"693,000","52,484,425"
2018-08-03,11.05%,"455,500","34,349,625"
2018-08-02,15.44%,"1,090,500","83,226,075"
2018-08-01,19.25%,"944,500","73,629,250"
2018-07-31,18.08%,"655,000","50,880,500"
2018-07-30,29.23%,"703,500","54,564,150"
2018-07-27,10.51%,"319,500","24,626,350"
2018-07-26,7.23%,"260,000","19,954,150"
2018-07-25,4.14%,"169,500","12,871,375"
2018-07-24,11.01%,"923,000","71,511,550"
2018-07-23,26.58%,"1,617,500","123,822,950"
2018-07-20,17.03%,"1,039,500","77,934,050"
2018-07-19,17.75%,"541,000","39,913,375"
2018-07-18,13.15%,"329,500","24,369,650"
2018-07-17,21.12%,"665,000","49,368,825"
2018-07-16,12.31%,"246,500","18,436,700"
2018-07-13,26.15%,"1,026,000","77,304,875"
2018-07-12,16.39%,"740,500","55,462,200"
2018-07-11,25.73%,"1,161,500","85,034,575"
2018-07-10,3.67%,"179,500","13,436,250"
2018-07-09,14.40%,"1,101,000","82,890,225"
2018-07-06,18.79%,"1,502,000","110,549,850"
2018-07-05,23.64%,"797,000","57,494,975"
2018-07-04,18.90%,"588,000","42,362,925"
2018-07-03,7.39%,"402,500","28,765,275"
2018-06-29,7.66%,"502,500","36,086,500"
2018-06-28,10.00%,"343,500","24,323,750"
2018-06-27,9.77%,"338,500","23,964,025"
2018-06-26,13.12%,"647,500","46,040,175"
2018-06-25,10.01%,"660,500","46,777,750"
2018-06-22,7.84%,"377,000","26,389,500"
2018-06-21,9.84%,"438,000","30,478,675"
2018-06-20,12.12%,"725,500","51,184,625"
2018-06-19,10.17%,"937,000","66,239,225"
2018-06-15,6.88%,"699,000","49,920,600"
2018-06-14,11.85%,"662,500","47,218,975"
2018-06-13,12.45%,"1,011,000","72,620,325"
2018-06-12,11.68%,"494,000","36,172,825"
2018-06-11,9.74%,"397,500","29,225,375"
2018-06-08,8.69%,"393,500","28,855,125"
2018-06-07,7.10%,"389,000","28,548,450"
2018-06-06,6.79%,"361,500","26,168,800"
2018-06-05,5.76%,"326,500","23,827,575"
2018-06-04,9.09%,"666,000","48,084,750"
2018-06-01,2.46%,"213,500","15,099,000"
2018-05-31,3.46%,"371,500","25,629,225"
2018-05-30,2.68%,"180,000","12,412,050"
2018-05-29,6.78%,"321,500","22,381,875"
2018-05-28,9.85%,"272,000","19,040,700"
2018-05-25,5.07%,"261,000","18,290,250"
2018-05-24,6.07%,"329,500","23,055,100"
2018-05-23,6.53%,"420,500","29,172,825"
2018-05-21,9.12%,"478,500","32,983,925"
2018-05-18,8.39%,"180,000","12,146,650"
2018-05-17,8.30%,"251,000","16,905,275"
2018-05-16,6.53%,"224,500","15,186,825"
2018-05-15,8.50%,"367,500","25,190,450"
2018-05-14,18.07%,"677,000","46,417,625"
2018-05-11,4.13%,"167,000","11,311,475"
2018-05-10,3.48%,"148,000","9,903,250"
2018-05-09,7.10%,"270,000","18,049,450"
2018-05-08,8.46%,"372,500","24,781,075"
2018-05-07,17.52%,"529,000","35,154,850"
2018-05-04,5.09%,"205,000","13,730,400"
2018-05-03,15.29%,"560,000","37,752,675"
2018-05-02,11.48%,"1,146,000","77,815,525"
2018-04-30,7.19%,"477,500","33,075,175"
2018-04-27,3.25%,"154,000","10,374,900"
2018-04-26,6.40%,"294,000","19,660,850"
2018-04-25,9.52%,"355,500","23,793,575"
2018-04-24,16.63%,"597,000","40,136,350"
2018-04-23,37.47%,"1,298,500","87,354,825"
2018-04-20,15.38%,"408,000","27,979,250"
2018-04-19,8.77%,"274,000","18,953,625"
2018-04-18,14.00%,"382,500","26,227,675"
2018-04-17,7.66%,"423,500","29,169,450"
2018-04-16,17.36%,"347,500","23,485,900"
2018-04-13,16.36%,"263,000","17,926,050"
2018-04-12,22.75%,"543,500","37,017,500"
2018-04-11,6.39%,"187,500","12,750,600"
2018-04-10,8.81%,"277,500","18,884,075"
2018-04-09,13.78%,"626,500","42,628,500"
2018-04-06,12.71%,"772,000","51,242,325"
2018-04-04,9.89%,"488,500","32,428,600"
2018-04-03,6.14%,"228,000","15,193,750"
2018-03-29,9.15%,"430,500","28,836,325"
2018-03-28,25.49%,"963,500","65,023,000"
2018-03-27,8.27%,"224,000","15,165,900"
2018-03-26,14.92%,"322,000","21,645,000"
2018-03-23,9.52%,"408,500","27,480,600"
2018-03-22,14.93%,"702,000","47,875,900"
2018-03-21,8.95%,"504,500","34,561,500"
2018-03-20,4.74%,"309,000","21,108,000"
2018-03-19,9.12%,"251,000","17,327,575"
2018-03-16,9.30%,"900,000","61,683,550"
2018-03-15,15.45%,"536,500","36,726,225"
2018-03-14,10.08%,"339,500","23,160,025"
2018-03-13,12.09%,"572,000","39,056,175"
2018-03-12,18.54%,"658,000","44,715,075"
2018-03-09,5.35%,"275,500","18,614,950"
2018-03-08,10.27%,"406,500","27,584,050"
2018-03-07,8.88%,"483,000","32,125,575"
2018-03-06,23.16%,"950,000","63,417,875"
2018-03-05,36.44%,"2,075,500","140,067,800"
2018-03-02,24.80%,"2,214,000","151,519,975"
2018-03-01,18.50%,"1,190,000","81,112,200"
2018-02-28,27.01%,"1,718,000","114,483,375"
2018-02-27,17.96%,"1,296,500","87,427,725"
2018-02-26,7.80%,"588,500","39,300,625"
2018-02-23,5.20%,"262,500","17,136,475"
2018-02-22,11.18%,"692,500","45,023,625"
2018-02-21,32.23%,"1,120,000","73,171,775"
2018-02-20,5.78%,"346,000","22,442,075"
2018-02-15,14.88%,"949,000","61,352,400"
2018-02-14,15.93%,"892,000","58,458,475"
2018-02-13,21.47%,"1,334,000","87,520,975"
2018-02-12,17.90%,"1,291,000","84,826,500"
2018-02-09,14.62%,"1,840,000","119,016,100"
2018-02-08,21.91%,"1,317,000","87,356,125"
2018-02-07,9.92%,"1,314,500","87,226,125"
2018-02-06,16.38%,"1,440,500","94,709,500"
2018-02-05,27.51%,"1,810,500","121,329,700"
2018-02-02,7.19%,"615,000","41,885,875"
2018-02-01,14.88%,"849,500","58,710,150"
2018-01-31,12.93%,"1,137,000","78,435,650"
2018-01-30,20.44%,"1,264,500","87,890,300"
2018-01-29,19.94%,"1,317,500","92,180,125"
2018-01-26,8.86%,"495,000","34,911,375"
